# widthSeld, typeSel, A0_8, A1_8, A2_8, A3_8, B0_8, B1_8, B2_8, B3_8, C0_8, A0_16, A1_16, A2_16, A3_16, B0_16, B1_16, B2_16, B3_16, C0_16, A0_32, A1_32, A2_32, A3_32, B0_32, B1_32, B2_32, B3_32, C0_32  
1 0 52 E3 41 8B 09 23 68 26 FF BCE4 E53F 0723 33C6 9649 B4BA E0AF 6889 F089 4DFBFD09 30FE0F2D A314BC80 F86FCF4F 5AB38E2A 2381F70F 795562FE 2576121A B1810135
2 0 3A FA 48 EC E4 2A 47 16 50 BC17 9A2C 1BB3 AB03 17F2 19C3 4D9F 26C4 6966 69A2ACC9 8E37FF5D 503A5F2C 51821287 0084CC75 501D1E51 E3CC70F5 BC3EBA1B 6520EC9D
1 0 40 A4 02 97 DD 96 0D 88 37 3DEE 5B0F 7262 88AB FFAD 0823 AC80 060E C510 EB1F7CC0 FFCD5DD6 0495E98F D9DA9744 F7A391CA 2D30A3A2 AA6CBF90 0E30E369 CB4AB261
0 2 C7 70 0D B7 35 75 1C 1C 97 D2B6 2E61 4594 D9EA 8F3E E25D CDBB 86E4 040B DD719DB8 0FFC5789 C1F9B835 4FA0BDDF 4A0EBC6C 830DE212 68D856D3 98CA570D 94D5337B
2 0 E5 7E 18 93 01 A1 70 12 74 B0ED 7BFD 92EF 85A1 EE13 AB6F A75A 138B 79EB 0469E3B1 096EF8BF A57CD445 B9542235 59436849 B6A65FEA 01511A83 5AEF5D4E 2D8343A2
2 0 D1 E4 14 D8 C1 F3 80 B8 4A BFCE 5B96 3F41 5F81 FA02 8269 626E F752 3E86 E6152318 E8BCA4F2 414DEA20 187179E5 73100A01 5D1EEF64 9789C52C D3168443 B66967D0
1 0 64 62 8B 9D 8F B4 01 0B 40 1D5D 85AA DB40 4C11 95CD 839F E926 777B 1EBD 7248B118 360B215A 5EEAE4B2 8FBCB907 7A3A24BA EC4C1EAE 4D05BAA3 CDECD37B 8D0F862B
1 0 5B C1 59 64 55 A3 A5 3B 11 FF15 A5D9 627E B28B A328 F1A8 5063 CCD5 C0D2 E196E39B 71F3C9E5 77E0B88B 6931CC10 392E9D83 E2EEF9E8 6BE90AF3 492FADDD 73422F03
0 0 E2 05 4B EF 3F 54 51 09 0A 976A 7016 DD48 49E7 3DDA C9CD AFED 2348 5D98 FD57D0FB 6FBD4FB4 71D4E011 6DE5A0A1 F45D37BD B953B095 ED9631E3 F854C44C 2BF662E5
1 1 1D 1C 04 5D 19 70 E8 7F 10 D5E1 B871 F0C6 77A4 74A9 4249 EEFD FA62 5D11 9FA8C089 078EC51C 93ED2912 03A4F168 10B5551B 4ED42685 85172A77 4476B054 714142CF
