a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
9F C0 BD 9E 8A 59 7D 74 02AB CC02 -12.998047 -12.998047 0.000000
27 86 8D 6A 76 1E BF 02 014B 2300 8.750000 8.750000 0.000000
78 0E 2D 0A F2 E5 AE 33 0353 EEDD -4.284180 -4.284180 0.000000
4A 4C B3 38 C6 34 05 31 F889 006C 0.105469 0.105469 0.000000
F0 A6 4D 55 6D 58 D9 9E 01BE AFB9 -20.069336 -20.069336 0.000000
6A 82 22 FA AE 11 1F 25 F9D3 D2C1 -11.311523 -11.311523 0.000000
8A 64 9D 3C 82 AB 93 BC FB37 2E4E 11.576172 11.576172 0.000000
27 95 2E DA CA AA 14 BF 0376 2C6C 11.105469 11.105469 0.000000
F0 97 25 24 8C C6 D9 24 FE73 1CEA 7.228516 7.228516 0.000000
E0 06 8A F0 19 1A F8 3D F9E7 F743 -2.184570 -2.184570 0.000000
82 F0 10 F5 36 D2 7D FA 01B9 F217 -3.477539 -3.477539 0.000000
7C 7B 94 82 54 DF B3 36 066E 252B 9.291992 9.291992 0.000000
81 BF F6 FB D3 7F 8F 2E 001B F9B3 -1.575195 -1.575195 0.000000
89 51 C1 58 D8 86 99 C0 FCDF EC36 -4.947266 -4.947266 0.000000
FF 56 E6 06 02 AE 52 DA 00DB DC15 -8.979492 -8.979492 0.000000
97 F3 EF C3 B6 4A F3 97 FCC2 313C 12.308594 12.308594 0.000000
40 8D 15 41 0C 51 37 C0 FD9E D07E -11.876953 -11.876953 0.000000
02 66 31 FE D8 B3 0E 91 FCE1 E16F -7.641602 -7.641602 0.000000
C9 23 F4 78 EF C7 D0 12 FCA8 0334 0.800781 0.800781 0.000000
0B EF F3 F2 56 95 B6 5B FD05 069A 1.650391 1.650391 0.000000
5A 77 6C 21 AF 5D 49 1F FD61 2EED 11.731445 11.731445 0.000000
69 C5 5B 34 5C C8 2F B4 01B8 35A1 13.407227 13.407227 0.000000
72 C5 B6 7A 7F 0D E8 7C FA67 71FE 28.498047 28.498047 0.000000
A3 3D A5 D3 4E F2 EC 3C 00AD DD91 -8.608398 -8.608398 0.000000
D4 A3 9D 90 A3 EE F7 07 FDA4 1495 5.145508 5.145508 0.000000
5C C8 B5 69 5B 33 12 C8 FF8E F8DC -1.785156 -1.785156 0.000000
BE 60 E5 E5 15 F6 66 52 FF6C E2DA -7.287109 -7.287109 0.000000
32 3C 59 C6 CA 87 24 19 0149 E13B -7.692383 -7.692383 0.000000
93 FE 61 70 6C 1F 21 19 FFF2 E929 -5.709961 -5.709961 0.000000
2A C0 B4 38 D6 B8 1E 78 06F4 2368 8.851562 8.851562 0.000000
3F E4 42 F7 BF 17 65 55 0340 07CA 1.947266 1.947266 0.000000
0E EE A6 5B F6 42 37 EF 0523 E692 -6.357422 -6.357422 0.000000
F4 FE 46 DB 97 B7 E5 17 0315 FDDE -0.533203 -0.533203 0.000000
EC 84 74 CD B2 EA F5 66 FF6C F6DE -2.283203 -2.283203 0.000000
67 A5 E4 4A D1 31 94 EA FA56 DB76 -9.134766 -9.134766 0.000000
CB 1E 7E 3A E0 22 89 93 0768 BEC0 -16.312500 -16.312500 0.000000
65 C3 F1 E8 D7 CA 90 2A FA03 F954 -1.667969 -1.667969 0.000000
8C 94 71 5A 36 17 A6 11 FBB7 B7CB -18.051758 -18.051758 0.000000
DA 7E E0 FC 1D 26 90 DB 00CC 1DC6 7.443359 7.443359 0.000000
28 50 44 D7 01 57 F5 C6 F9AD 1B63 6.846680 6.846680 0.000000
F9 01 8B 13 EA 90 A9 FF 0516 2CF0 11.234375 11.234375 0.000000
F3 ED D5 9C DA C2 FA 2C 0551 FBAB -1.083008 -1.083008 0.000000
7C D7 8D 99 AA F2 B6 B8 042E 1AFA 6.744141 6.744141 0.000000
34 FD 1B AF 9C E6 00 68 04EE D004 -11.996094 -11.996094 0.000000
2A 5D 3D 0C B5 D0 38 B7 FC0F E83D -5.940430 -5.940430 0.000000
E1 AC BC A1 EC 69 B4 E9 FC5D F90E -1.736328 -1.736328 0.000000
9C A7 C1 CE D1 6B 46 FD F949 D5CE -10.548828 -10.548828 0.000000
0A B9 A5 B0 9E 2F 05 A0 0431 0F8D 3.887695 3.887695 0.000000
00 57 F0 53 0E 0E 3D E3 FE73 F5FE -2.501953 -2.501953 0.000000
03 72 F8 FB 6C 0A B4 E5 02FD 0B9C 2.902344 2.902344 0.000000
BC 2B F9 60 A8 34 6B 9D 05FB FE0A -0.490234 -0.490234 0.000000
8A E7 4C 93 0D 14 6D 9A FC44 401C 16.027344 16.027344 0.000000
9B 75 11 19 41 8E E6 48 0071 B800 -18.000000 -18.000000 0.000000
85 C2 D1 64 D3 A6 F1 C5 07EC 1F0C 7.761719 7.761719 0.000000
D9 7C 3D 3C B9 19 22 15 077D 2B70 10.859375 10.859375 0.000000
D1 52 02 14 A2 A3 F5 52 0104 FACE -1.298828 -1.298828 0.000000
53 8C 82 8E DC 12 B7 AB F949 2F3D 11.809570 11.809570 0.000000
32 77 0E 0D 56 E7 14 15 FE18 056E 1.357422 1.357422 0.000000
DB 9D E5 A2 68 75 FA 43 05F0 B1B1 -19.577148 -19.577148 0.000000
D1 54 E7 50 08 8C B6 79 0575 0AF7 2.741211 2.741211 0.000000
EE D3 29 FC 2C C6 35 E1 F93C 094F 2.327148 2.327148 0.000000
FF D1 8A 71 A7 4D D6 95 07A2 DDF9 -8.506836 -8.506836 0.000000
8D D1 EA 9D 09 FE 78 BF 00D6 0BFC 2.996094 2.996094 0.000000
E7 F0 68 66 C9 6D BE 69 FC8E 0A23 2.534180 2.534180 0.000000
5E 86 58 33 30 AE 18 45 FC92 4B45 18.817383 18.817383 0.000000
53 08 6F 2A FA 96 ED 2A 07B8 011D 0.278320 0.278320 0.000000
B1 C4 E3 00 75 8A 7A 73 FC16 E5D1 -6.545898 -6.545898 0.000000
BD 3A B3 4A 4B AD B1 4F 02B1 0ADB 2.713867 2.713867 0.000000
8F DE C8 BF D9 2F B4 BB 03AE 30CC 12.199219 12.199219 0.000000
99 15 00 5E 69 2C F3 46 FD01 F012 -3.982422 -3.982422 0.000000
83 56 18 81 A6 56 86 1A 00D3 3153 12.331055 12.331055 0.000000
51 69 8A D5 AA 22 8C 18 FBA9 1FD5 7.958008 7.958008 0.000000
79 D7 86 49 D6 77 8F 4F 0628 2BA0 10.906250 10.906250 0.000000
27 CA 16 5F 23 7D 07 66 F9C1 0B2C 2.792969 2.792969 0.000000
B5 45 6C 52 95 E0 7F F0 011C 4849 18.071289 18.071289 0.000000
03 9D 9F D3 38 3D FB 09 006C E9CD -5.549805 -5.549805 0.000000
8B D8 8E 1B AE 00 DD 92 FC86 25FC 9.496094 9.496094 0.000000
5B 8B 60 B7 E6 A6 1A A2 F948 3DBA 15.431641 15.431641 0.000000
B6 91 00 EF ED 64 BE D9 02C9 DF82 -8.123047 -8.123047 0.000000
DC A5 56 C3 19 7E 50 0C FBEF E3A5 -7.088867 -7.088867 0.000000
91 4E E5 F9 49 57 25 5F 0057 F4B2 -2.826172 -2.826172 0.000000
EA DF 7A 91 D3 F6 FE D9 F88A 0DA7 3.413086 3.413086 0.000000
89 2B 6F 87 BF 93 DA EB FB40 009B 0.151367 0.151367 0.000000
47 0A 48 04 01 79 03 29 0053 06D0 1.703125 1.703125 0.000000
B0 D3 27 4C FD 1D EC 33 FBCA 03B9 0.930664 0.930664 0.000000
19 65 B3 B5 52 30 2A C5 FBCA 1B63 6.846680 6.846680 0.000000
C8 94 AF CF 82 7D F9 CB FB21 EE51 -4.420898 -4.420898 0.000000
E2 00 F8 44 5E E7 1F FB 0375 F625 -2.463867 -2.463867 0.000000
0B 4B 21 64 37 EE 9D 9D 07BB D163 -11.653320 -11.653320 0.000000
04 F4 1A DF 37 81 C7 B3 FC27 071A 1.775391 1.775391 0.000000
FF 76 A1 84 31 83 83 F0 FA09 F65D -2.409180 -2.409180 0.000000
F9 65 D5 62 C7 22 46 4A F985 1910 6.265625 6.265625 0.000000
92 59 23 A2 C2 8F 8E 00 FB28 DEED -8.268555 -8.268555 0.000000
76 08 72 3F 57 88 F5 16 FEB3 2391 8.891602 8.891602 0.000000
D4 1E B6 35 00 17 F1 66 FACC 16F2 5.736328 5.736328 0.000000
62 56 0F 29 6A 20 F8 92 00A3 21E1 8.469727 8.469727 0.000000
A0 36 7A E6 5F 0B 3C 30 F914 EF7E -4.126953 -4.126953 0.000000
AE 92 AC 4F 4C D9 26 6D FB0D 08A2 2.158203 2.158203 0.000000
A8 E4 92 9A 78 AE 37 56 FE28 A3FA -23.005859 -23.005859 0.000000
E7 15 09 26 C8 B1 F7 B4 012E F492 -2.857422 -2.857422 0.000000
AE CB DB 2A C3 A3 76 F4 FA88 0E4D 3.575195 3.575195 0.000000
F6 EF 5C CA B3 AF 59 98 FE58 3CA7 15.163086 15.163086 0.000000
DB C2 45 2B 12 43 88 CF F8D7 BD70 -16.640625 -16.640625 0.000000
