a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
C51F 454F C5CF C602 4412 4802 44EE 4681 3F12 D188 -44.250000 -44.233978 0.016022
45C9 C7CE C5E7 4044 4040 48AB 489F C81E 452C D7F8 -127.500000 -127.511688 0.011688
BD71 4780 44AA 4698 44CC C5EC 4817 3A42 460C BE62 -1.595703 -1.584244 0.011459
38B4 BBDC C07C C4E1 C840 45BF 3CC7 484B B88F D2F9 -55.781250 -55.779892 0.001358
C85A 3FF7 3BA3 3CF0 C105 448D C873 48FB BFC2 5018 32.750000 32.766090 0.016090
3C9A C596 C8AB 3852 C235 466E 4874 C456 BB3F D7DE -125.875000 -125.881618 0.006618
B92C C643 48E1 242B C82F 43A2 45B3 487B C823 4F3F 28.984375 28.996358 0.011983
C80A 4419 4095 C468 B8DC B445 4650 41D5 C79D C05F -2.185547 -2.186551 0.001004
C288 C59C 45F3 C5E2 C84E 48BD C29C B9DB 46B9 D035 -33.656250 -33.674427 0.018177
C560 4251 BF89 34B7 C049 443D C832 C632 4861 51F5 47.656250 47.640070 0.016180
C031 4857 C1ED C783 C8B1 C163 3C5C C694 B436 5147 42.218750 42.206825 0.011925
4497 47D3 42DA C767 C2EB BC67 C669 480B 468B D63C -99.750000 -99.759136 0.009136
C46C C682 3A36 4485 441E C1FC 461F C5A7 C68C CE85 -26.078125 -26.073696 0.004429
C4C1 466A C0CA 46A1 445D BCBD C073 C764 46D0 D413 -65.187500 -65.192902 0.005402
C886 C1DE 3FAC 48E1 48FD C35B C3C9 41B3 C8B8 D448 -68.500000 -68.565125 0.065125
47BF 47B8 46D0 C19C C406 C77A BBC3 3C1F C8C7 D6BF -107.937500 -107.929512 0.007988
4808 466C C55D C89D C767 4196 436C 2FC3 4725 D2F4 -55.625000 -55.622539 0.002461
48E0 BCE1 C3B1 B58E 46C0 3D66 44F7 479E 4614 5210 48.500000 48.506712 0.006712
C3E5 C7B0 C8BF 452B C860 C7F8 45C0 C110 42B8 4FE1 31.515625 31.496216 0.019409
45DD 47D7 3FC1 45FB C2AD C72F 42ED 2F31 C112 D471 -71.062500 -71.039668 0.022832
C014 41BC 41CB C631 46AD 4105 C4F4 C106 47FC 418A 2.769531 2.772430 0.002899
C155 C6AC 42C5 47D9 452F 4642 C1A7 BD85 4805 D43F -67.937500 -67.926598 0.010902
4079 BC59 3F0D BD6D C854 C0C0 C51C 4267 C4D4 D05E -34.937500 -34.953405 0.015905
BF36 C4D9 C001 4467 3FD8 C17C C8C0 C87B C321 CB1D -14.226562 -14.236893 0.010330
46C6 C359 B1C6 48BC C507 C3F2 480F AF8F 4461 CC6B -17.671875 -17.661427 0.010448
464E 464A 47AA C15D 43DD 48DE C686 C8D5 C8A5 5295 52.656250 52.638306 0.017944
B9B6 C6AA 48B9 4583 48D9 44E9 C832 BB7C 48A4 D72D -114.812500 -114.770050 0.042450
C0FB 4098 4669 B86A C8A8 C755 3991 4657 42B5 4955 10.664062 10.665197 0.001135
3346 BBF1 BC8D 465A 45CE C0AE C876 4757 B031 5389 60.281250 60.280952 0.000298
C45A 4227 40DA C0DA 4812 48C0 3D2B 47B3 48B6 CA29 -12.320312 -12.321461 0.001148
C846 BE88 C5AF 4431 4467 C501 46D0 C606 C6EA D646 -100.375000 -100.336060 0.038940
C656 C6C3 4438 C8AE C53F 4681 3910 4812 C419 D586 -88.375000 -88.357803 0.017197
47C0 48D5 BB88 C25D C6D2 3BEE C7B4 C491 C457 CE74 -25.812500 -25.837708 0.025208
C842 3C6C BE73 C2F4 4478 4582 39C4 C6FA BF65 C95B -10.710938 -10.721655 0.010717
44D0 C5CE BE19 C6FA 3CED 3DAA 44A5 B872 B988 C630 -6.187500 -6.188168 0.000668
C5C4 A8F8 C42A C4D0 4232 C4CB 4783 BF5D C6A5 D1D8 -46.750000 -46.738719 0.011281
