a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
4E 3A CC BA 51 52 42 52 CB 63 44.000000 42.500000 1.500000
CB 51 42 4E C2 4D D2 D1 C6 D7 -15.000000 -19.250000 4.250000
51 32 CC D1 C6 C3 43 48 21 EA -80.000000 -85.578125 5.578125
CC 4B CE CC 44 CE 3B 52 51 EE -112.000000 -117.125000 5.125000
C5 39 C7 49 C2 CD 3F CB D2 E2 -40.000000 -40.968750 0.968750
45 4C 98 4C 43 CA 48 51 3A 60 32.000000 33.937500 1.937500
51 4F 44 CE C1 33 CE 4C C5 EA -80.000000 -81.343750 1.343750
4A 38 D2 C2 C0 C8 44 41 D2 E7 -60.000000 -59.625000 0.375000
48 C4 CD 4B BB 41 40 D1 51 E8 -64.000000 -65.750000 1.750000
4E 51 49 4D C9 51 C3 46 CF 65 52.000000 52.375000 0.375000
43 47 D1 40 98 D2 CB 43 80 5A 20.000000 17.328125 2.671875
32 D1 3E 4F CF CC CE CF 3D D8 -16.000000 -17.562500 1.562500
CD 42 BC 52 CD C6 AF 44 28 68 64.000000 64.453125 0.453125
4B 43 CC 91 CD 52 50 CC 51 E4 -48.000000 -47.039062 0.960938
52 52 48 D2 52 49 C4 CF C2 75 208.000000 205.500000 2.500000
4D 16 49 BB 3C CD B1 C4 D1 40 2.000000 1.988281 0.011719
3E D1 C2 3E C8 BF 30 48 49 5A 20.000000 20.125000 0.125000
B9 43 4A C8 D1 3A C1 38 D1 D3 -11.000000 -10.687500 0.312500
4D 4C 50 4F AB A0 D1 4E 46 DA -20.000000 -18.984375 1.015625
D1 CA D0 4A CD D2 52 52 D2 68 64.000000 68.500000 4.500000
50 40 B2 43 27 50 C3 43 D0 5A 20.000000 19.156250 0.843750
C0 B7 4C 50 4A CB 31 3C C8 4D 6.500000 6.531250 0.031250
44 51 C3 38 D0 36 2B 4A 3D D2 -10.000000 -10.445312 0.445312
4B 41 D2 D0 CE 4C A7 D1 2F 64 48.000000 49.812500 1.812500
47 45 CC 40 BB 50 37 43 CF 55 13.000000 13.218750 0.218750
4B CC BF CB C9 D0 CD D0 51 6B 88.000000 88.437500 0.437500
4D 42 50 50 CF B7 4E 4E 44 68 64.000000 63.906250 0.093750
C9 4C CD 51 50 D1 4C 83 D0 F0 -128.000000 -137.052734 9.052734
45 4F 50 49 D1 4E CF 52 38 51 9.000000 9.250000 0.250000
C9 40 BB C0 CC BA CC 43 52 61 36.000000 37.250000 1.250000
51 49 CA 51 48 43 4D D1 C8 E9 -72.000000 -69.125000 2.875000
A4 CF C9 3B 34 CD 42 CA 46 60 32.000000 33.984375 1.984375
C0 33 4A 50 4E 51 50 D0 CF E2 -40.000000 -39.312500 0.687500
4E C8 D0 50 AA 4A D0 B7 CE 5E 28.000000 27.312500 0.687500
51 4A 50 CA 29 C5 D1 BC 42 E9 -72.000000 -75.718750 3.718750
C8 4B C8 4B CA C4 50 4A 3F 3C 1.500000 0.875000 0.625000
CE D0 48 99 C0 4B 51 43 D0 C8 -4.000000 -2.193359 1.806641
4F D2 BF CA 4E 2B D0 CE 50 6D 104.000000 107.062500 3.062500
3E D1 A6 4B 52 50 4B 4E D2 DD -26.000000 -27.203125 1.203125
52 C8 49 CB 4A 3C C4 39 47 5F 30.000000 28.062500 1.937500
C1 BA D0 C2 4D 51 C0 CC 4C 53 11.000000 11.125000 0.125000
D1 4E 3E CC D2 4F 4E A2 39 72 160.000000 156.812500 3.187500
C2 50 40 C9 52 4C 47 C3 C9 62 40.000000 38.375000 1.625000
4D C7 45 C7 48 CA D1 B7 C2 59 18.000000 16.515625 1.484375
33 47 B0 40 BF C1 49 51 51 57 15.000000 15.023438 0.023438
CE 4E 52 3A D1 CB 49 4E 37 6A 80.000000 79.187500 0.812500
D1 51 CF CA C1 4D 50 C6 48 61 36.000000 40.250000 4.250000
C9 51 BE 40 44 CD C1 50 D0 E8 -64.000000 -60.062500 3.937500
C9 CB C9 82 CB CE 41 D0 4B 67 60.000000 58.656250 1.343750
C7 CC C3 41 C9 2B 1C B2 D0 4A 5.000000 5.148438 0.148438
C8 50 B7 CE C9 D0 4F BF 3B E2 -40.000000 -38.531250 1.468750
4E 50 C4 CA 4F 48 45 4C B8 62 40.000000 43.750000 3.750000
CA 40 3F 33 BD 50 47 D0 D1 58 16.000000 16.656250 0.656250
B9 C7 50 C5 D0 CB 4A 52 C5 60 32.000000 33.875000 1.875000
BA 4A C4 47 CE B2 4F 45 D1 D6 -14.000000 -13.687500 0.312500
38 4D 20 C6 48 4E D1 C2 D0 64 48.000000 49.125000 1.125000
C8 4F 88 4B C9 BB 4B 51 45 67 60.000000 60.351562 0.351562
49 CC C4 C0 4C D2 CF C7 C6 6E 112.000000 113.500000 1.500000
D1 D1 CA CB CF 50 C6 45 C5 D0 -8.000000 -8.125000 0.125000
4D C9 C3 CE D1 51 BE C8 4D E7 -60.000000 -59.687500 0.312500
51 D0 43 C8 CD 51 50 4A 4A F0 -128.000000 -123.500000 4.500000
52 45 4A 50 4B C4 B6 C9 4F 58 16.000000 12.375000 3.625000
4A 2C 48 CD 30 BE C1 CA 51 61 36.000000 34.343750 1.656250
44 45 49 38 D1 C0 50 C9 D2 D4 -12.000000 -12.000000 0.000000
CB D2 CC 4E D1 CB 51 CA 51 5A 20.000000 24.500000 4.500000
43 CE B5 48 52 D0 D1 D0 CC 66 56.000000 52.812500 3.187500
33 31 4E D2 4A D2 51 4F D0 DC -24.000000 -22.187500 1.812500
BB D0 51 BE 4F 45 45 4F CD DC -24.000000 -26.687500 2.687500
52 CC 42 CA 50 45 C2 41 51 65 52.000000 52.000000 0.000000
47 CE 4E CF 2B 48 21 C3 50 32 0.625000 2.898438 2.273438
4C C3 D0 D2 11 4D C3 C0 42 5E 28.000000 26.835938 1.164062
CA 49 C8 50 2B CC D2 31 CC 50 8.000000 9.781250 1.781250
51 BD 28 CA 52 40 D0 50 C8 64 48.000000 40.750000 7.250000
4D AA CD BE 45 31 C8 44 CC 61 36.000000 35.699219 0.300781
4C C4 C0 41 B2 CB 4D 41 CB AE -0.437500 -0.687500 0.250000
C3 D1 39 44 4B 4E CF 2A C1 EB -88.000000 -87.875000 0.125000
51 C9 51 36 50 47 52 50 D0 71 144.000000 144.125000 0.125000
3A D2 50 10 BE D0 D2 4E 40 26 0.218750 0.031250 0.187500
42 38 3D 9D CA 4D B1 49 35 CE -7.000000 -6.558594 0.441406
C9 CD 4D 49 C8 C1 43 C7 BD 60 32.000000 32.000000 0.000000
C7 4A BC C9 B7 3D B4 4F CA DD -26.000000 -25.984375 0.015625
C1 B6 BB C9 42 CA 50 CF 42 5C 24.000000 24.000000 0.000000
CA CB C9 CB C9 CE CC 50 CF 61 36.000000 36.500000 0.500000
D1 D0 52 D0 4F 4F C7 4C C9 F5 -208.000000 -217.500000 9.500000
CB D0 BF C4 3A CA CD 4E 40 5E 28.000000 26.312500 1.687500
42 C2 B1 A0 4A C3 50 C4 4A 5A 20.000000 20.250000 0.250000
49 C1 D2 4A B8 D1 C1 CF 31 42 2.500000 1.312500 1.187500
41 45 BC C8 52 51 30 C6 C6 68 64.000000 61.500000 2.500000
CA C7 D1 C2 52 50 52 CA 4C F1 -144.000000 -151.500000 7.500000
50 D2 D2 4B C3 D2 CB D2 D2 68 64.000000 68.000000 4.000000
C2 CA 50 38 C1 35 A4 4E CC 38 1.000000 1.062500 0.062500
49 C3 47 49 27 CF CA D0 D2 E3 -44.000000 -43.070312 0.929688
C8 45 D1 40 BB BB C4 4B 4F 64 48.000000 46.531250 1.468750
44 CA 24 2E C6 89 C8 12 42 D1 -9.000000 -8.645020 0.354980
C4 D2 4F D0 B8 32 D1 BC 4F E5 -52.000000 -51.250000 0.750000
38 4C 42 43 44 50 D2 51 51 67 60.000000 59.750000 0.250000
C1 C9 C2 C9 4C 46 49 41 D1 E7 -60.000000 -59.625000 0.375000
CE 47 45 CC B4 B5 4D 44 C6 40 2.000000 1.828125 0.171875
48 C8 51 D0 D2 4D A7 4B C6 EE -112.000000 -115.609375 3.609375
52 C5 D1 C2 52 51 3E 42 CE 62 40.000000 41.750000 1.750000
52 D1 4D AF D0 3D 50 B6 50 E1 -36.000000 -34.214844 1.785156
2F CE C6 4B CE 48 4A C7 4B E8 -64.000000 -63.906250 0.093750
44 D0 C6 BF CC 41 4A D0 4F DE -28.000000 -31.000000 3.000000
CB CB 4C CC 41 CC 4D D0 50 6E 112.000000 115.625000 3.625000
C8 4A 44 29 CA 51 C6 BC CE 63 44.000000 47.078125 3.078125
CF C0 4A 4D 4B D1 48 CA 3B E1 -36.000000 -34.375000 1.625000
CD 46 CD 22 4B 40 4F CA 43 E9 -72.000000 -75.531250 3.531250
34 3B 45 CA CD 4F 4A 52 51 DA -20.000000 -19.312500 0.687500
C9 D0 BA 46 CC 4A CE 49 11 54 12.000000 11.535156 0.464844
BA CA 4F 50 CF B4 CE 4C 4F 58 16.000000 16.125000 0.125000
4F 4E 52 41 24 51 C0 36 4D 65 52.000000 52.875000 0.875000
A9 BD 43 CE 48 51 4B D2 4C 69 72.000000 75.375000 3.375000
C3 CC CA CD 98 32 35 CB 35 5E 28.000000 28.921875 0.921875
CE 46 48 52 42 CD 3C BA CD E5 -52.000000 -53.250000 1.250000
BA A8 1F 51 11 CB CF D1 C5 EA -80.000000 -83.797852 3.797852
CA C9 BD B2 D1 C2 BB 3B D0 65 52.000000 49.625000 2.375000
4F BB D2 D1 46 4C 51 C3 D0 E6 -56.000000 -55.250000 0.750000
C0 45 CD C9 50 C9 D0 52 3E DA -20.000000 -21.875000 1.875000
C9 36 D1 C7 D2 4D D0 4E 49 6D 104.000000 100.937500 3.062500
