a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
00 00 00 00 00 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 01 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 02 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 03 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 04 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 05 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 06 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 07 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 08 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 09 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 0A 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 0B 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 0C 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 0D 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 0E 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 0F 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 10 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 11 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 12 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 13 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 14 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 15 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 16 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 17 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 18 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 19 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 1A 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 1B 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 1C 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 1D 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 1E 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 1F 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 20 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 21 00 00 00 00 00 0.000000 0.000000 0.000000
00 00 00 00 22 00 00 00 00 00 0.000000 0.000000 0.000000
