# widthSeld, typeSel, A0_8, A1_8, A2_8, A3_8, B0_8, B1_8, B2_8, B3_8, C0_8, A0_16, A1_16, A2_16, A3_16, B0_16, B1_16, B2_16, B3_16, C0_16, A0_32, A1_32, A2_32, A3_32, B0_32, B1_32, B2_32, B3_32, C0_32  
0 1 C1 5B C6 6A 57 A8 9D D0 A4 4380 1E2E 48CD 9C3A 184 23A6 434D A523 595F BD268350 B3A694A6 F3C67DD8 97D8DCF4 BDAC7730 86A83C8C 92A8584D 1182E3A5 114F678D
0 0 E1 2B EC 1B 25 D4 38 72 E5 4CB7 D9B 44A7 37F1 B389 2564 7ACD AFEC 88FD 12F0F6ED 35B4D2B6 9E5C6693 7556C0E3 3770D4F9 F2177A62 1BF653A6 EC21E280 45AD3BFA
2 1 83 F3 6B 90 53 7F C6 3A 4C 8530 3E52 9277 B339 9CFD CB32 5558 70EA DF51 93E0D3CB 3B964CCE 53E6F4CF 8B3AA781 FE75CB4E 4DF7E780 C3CC99E8 B68AB06E 3AF2E34A
0 1 47 67 FD 6F D6 69 8C 32 2D EC38 5A82 BB8C 4C56 3F8D B9D5 24A1 C9FB AAF3 B327ECCC F36BA1FA 5102DF60 1512E8C8 5FF5EAA E4449B29 5973C540 618A174A 15FE9DD2
1 1 49 A6 E2 8E A0 F4 5E 1A 09 6015 B9E4 13DA C9EE BD01 5015 6473 2FC6 270 A9592E60 31097F39 A17DF4DB D71E1C6 FB4DE6FD 7326C0E8 18622AD5 B456D1C0 65B07930
0 0 67 80 27 91 78 7B 78 D8 3D F83C EEFB 8143 9CC6 5215 7F83 52B9 C30C 5F8E EF454C9F B56A6C75 DA862855 46E32AB6 3C6E43F5 A26F3615 4795D022 5C27F972 BCBFBF01
0 1 76 BD B8 C4 8D 3C D3 11 28 CFD1 B188 501 FDB7 5D4A 7180 195B 3B23 D2CF F64C217 E165DFE7 BC49FE46 D0BC4FDB B3003AEF 97F6B3A8 AE380C72 47B11C03 9FF20136
2 0 8B B5 72 D4 90 10 81 56 AD 1874 AEB3 DB4B 8AFA A9BE 2F3B 1238 7C3E D4DF B6DC3FF 1394D20C 12D66E38 DFED1150 CDD8827 7DDCF5D6 988A3A98 CF5C9EC6 6DC8AB34
0 0 CC 9C F2 B8 CE C7 DC 89 AF A191 14F9 E7D3 D3BC 3FA6 D42F 9F27 9A67 441 172D0ADE 30AFFA66 AF95A338 481C0B5E CD320361 D95CE491 C7A1A3D2 9601C0DD EFDDBF55
2 0 AA B2 B4 E4 97 4B 28 9B CA AA1 7F00 4E47 1C53 61FC D89C 90F7 D09B E963 F00557DA 91537A85 9FBD1C39 E771D846 1C0AB1E8 7673D202 E9F0DC43 DDC6C4FD 28941172
0 1 7C 79 38 F5 EB 7B 6C 05 6C 4E0C 58BD 4ADC C526 924D 5592 3694 847F 67C5 C016B515 64E6B905 266C98C6 93DA0259 5F225F99 345D20C1 BD27403C FC925865 BFE5B090
1 0 BE 8F 78 6D 43 71 72 95 81 B4A6 7AD1 DE59 72E5 2516 541D EDBF 83E7 F2B3 DD872765 1669345C C83D8FB4 711978D0 1E7C28DD 9663F84B 99E4CFD2 88DED185 96AE40B2
0 1 B4 FB 9C 21 57 42 EB AB D2 61AF 90FE D4C4 44AA AEA9 6C97 FD18 E6B6 1C49 DC7B3F7C 8EA2AE64 783734A2 FB36423E ABA8AB7C 62052EB9 9F063ABB C4937A94 C6608657
