# widthSeld, typeSel, A0_8, A1_8, A2_8, A3_8, B0_8, B1_8, B2_8, B3_8, C0_8, A0_16, A1_16, A2_16, A3_16, B0_16, B1_16, B2_16, B3_16, C0_16, A0_32, A1_32, A2_32, A3_32, B0_32, B1_32, B2_32, B3_32, C0_32  
1 1 DE 6D 07 E4 B5 59 9A 37 D5 7C14 4FE5 96A5 80CC D4BF F4F1 8DC0 F636 1DA7 2C6BFCCF 4A65D004 855B9BBC 4361A895 5D4FB170 1591E873 618E4A56 CC4F5CEE 5046E30B
0 0 1B 44 12 22 76 59 23 FC 0E E495 5182 21CB C8A1 CDE7 A7BC DE57 DAB8 B7DF 9C02CE47 825E624C E10E9029 EBACF479 5E79C5AD 2D0F2669 013152A3 79F12070 8C985B5B
2 0 5B 0B 52 A3 EA 7F 34 35 87 0457 5F76 3277 7655 FF31 DC31 06E0 5594 50CD 6A90BBAE 38F66656 B6464704 354ADD43 991C3520 1DB79C69 1A57C86B 8488CCA0 890A8470
2 0 B9 EB EE 9B 34 A3 76 2F 81 A22D 1C34 3BE6 6354 AC67 2F43 9158 9BAA EC0E 1C8754F4 5941D0F3 11F9B2C9 8DCF7545 D06490C6 94895F12 103E74D1 7C1DF7B3 778A4EC2
2 0 A1 03 FA DA FB 57 EA 9B 4C 8BAE 84B8 E256 DF8F 9EAA 9249 713F 3B74 122F 98E52EA5 0E580ABB 07682023 3DA5ADDE E7B2C616 68C6EFA5 4F167405 186D08F7 729D1AC6
2 1 E8 8B 9D 2E AD C9 33 F1 23 0B2A FFC4 D43D D432 EB3E 54B9 BB91 62CA 419B A98EF946 64BD8F0C 2B52455E F52FC93B 5ED1509B B32AEA16 8FFD5670 4B1EA55A B06BE440
0 1 2A 84 6B 3F B2 97 5F B2 C7 7E4F C63C 8809 53C8 53D2 3697 9621 6D29 C4EF 91E101E3 84238437 0170A887 2F71E4D3 644C1D45 5515088F F57F2747 B8F44F4F CDBB0826
0 0 5D B5 27 14 9A B0 A3 5B C3 7360 9159 125D FD3F 4A33 AF1A 31BA 1547 72CC 3DEF1840 369840F2 43FC3C59 6C961444 723D334C 7783F8A3 153C5893 B97159A2 AE13CD46
0 1 A6 D2 09 A8 FF 11 E8 2E B0 5EB7 9352 A888 0D7E F62B 3075 0D6C F28C 0ACF C6EEBF37 6B82D09D 32DA4904 ABDDD331 6ABBB4BA BC0C2CEF DC911E4F C9EF5E97 0DDE4B8A
0 0 B8 DF BA EC 03 4E 25 45 B6 383E DC5B D49F 7231 067B BC9E 50B4 EC1E 7C76 502D56FA 40537BAF 825510C8 EA8C7714 020E9974 6027210C 698D4AFE 9DE848B6 8BCEAB66
2 1 C1 88 DD FB BB 09 BB 5F 1A 8F49 2308 23A9 1883 79DF E683 1CD0 4ADE 7946 36A3FA6F 34DF83A3 CDAA4E7F 5766436E AE344806 72FEA825 0C7CFBF9 BC5A770B 38F4B134
