a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
C22B D44D 3BC4 3E81 D533 E4BC CE9D E047 E4F8 D5AC -0.411377 -0.411407 0.000030
C895 CBAC CED7 CE6E 217E 37AE 2B60 DB80 D6BE BE1C -1.118164 -1.118250 0.000086
3E6F CFAB C254 12E5 32EE C8F8 379C C4B4 E49F FBA8 -0.004578 -0.004588 0.000010
275F D10B 360B 37CD CB02 245A E8C3 E640 3916 1C80 0.195312 0.195250 0.000063
0E1D CEEC F5BA C03B 1488 1A9C 27DA 30FC 20AA D8FE -0.359497 -0.359491 0.000006
F2C0 3432 2B9D CC2D CB28 EFB0 3A29 DE2A 27E3 3C4C 0.884277 0.884328 0.000051
E7AA C2C7 DCB9 279E 3536 C89F EC3F 34DB 15BF 3E9C 0.956543 0.956399 0.000144
3635 13C0 3CC0 EEC0 397B 1C55 CFA2 2FFC DBB2 E07A -0.242554 -0.242632 0.000078
CBEC E54F EAD1 D2F2 1B46 2022 3EFA E5A7 C1AA BDF8 -1.126953 -1.126933 0.000021
F8DB D549 DEE7 C1AF E595 22B8 28C0 3ADC 3BB9 E642 -0.152222 -0.152262 0.000040
3125 DB1D C707 3570 F3DD DB32 C0EE C20A 2C67 3538 0.663086 0.663050 0.000036
CC59 C0AA 2832 C641 1C55 C199 CDFD CAAD 1E54 45BF 1.359131 1.359253 0.000122
333E 0A22 0874 304E F0ED 11D7 3B6A CC33 33D0 2264 0.287354 0.287372 0.000019
D1CA 270A 2923 36D4 C666 3015 3786 2AE1 CA8F 2E86 0.476929 0.476860 0.000069
15B9 3BB3 CED4 3C71 DE8E 20AA E132 06BA 360E 404E 1.019043 1.018967 0.000076
DDAE CB27 15C1 CA32 C9A7 DED2 F1C7 E479 D6C1 1486 0.097839 0.097827 0.000013
D4A5 CF80 361B 36D3 C1CA C6ED 22A5 3BC7 C18F 35A7 0.676636 0.676646 0.000011
E1C9 E58A 35E1 1FAE 3A49 2DD3 38F5 C1FA D941 DC1E -0.310669 -0.310646 0.000023
C956 0E02 D4E4 E609 1DB3 06FD C8CC 1556 3E1D 414B 1.080811 1.080904 0.000094
F175 DCC6 3147 3127 275D 1EE3 3124 D03D D788 D359 -0.447693 -0.447669 0.000024
D548 C42C 2BA1 E6E8 C3CF DF1F 2A44 DC1F C229 E968 -0.114014 -0.114048 0.000034
36AD 3EB5 E55C 349C 3B10 238A CCFD 3F26 3529 523C 2.279297 2.279179 0.000117
